,Time,Voltage,Current,Positive electrode stoichiometry,Discharge capacity [A.h],Battery negative particle concentration overpotential [V],Battery positive particle concentration overpotential [V],X-averaged battery negative reaction overpotential [V],X-averaged battery positive reaction overpotential [V],X-averaged battery concentration overpotential [V],X-averaged battery electrolyte ohmic losses [V],X-averaged battery negative solid phase ohmic losses [V],X-averaged battery positive solid phase ohmic losses [V]
49,2939.8050514198076,2.500009999999999,2.3,0.5743607040939465,1.8782087828515435,0.5431884319884677,-0.0001337281575923832,0.10562722555902537,-0.0008056688119091326,-0.0026457537314784124,-0.0015717442282994704,1.5198643635740747e-06,-0.004430529124773042
50,2939.8050514208076,2.7220455726052,-2.3,0.5743607040939465,1.8782087828515435,0.5431884319884677,-0.0001337281575923832,-0.10562664567794233,0.0008576543425986571,-0.00264575373147842,0.0018760196852594807,-1.5211604171910614e-06,0.0012370327025692518
51,2999.8050514198076,3.2259100570027286,-2.3,0.5627158359319069,1.839875449518849,0.031714500123062705,0.0001021628852715395,-0.08055508891442545,0.0007806288658631644,0.0029165102769009364,0.0017005204226747607,-1.524961518878206e-06,0.0024837696161146283
52,3059.8050514198076,3.2618284641461788,-2.3,0.5510709677696888,1.8015421161855156,-0.002322585266129773,0.0001100095241306498,-0.07547121776485238,0.0007713807663272121,0.002962474779519274,0.0016902057840138276,-1.5273324496591693e-06,0.0026837321528785374
53,3119.8050514198076,3.273092270767405,-2.3,0.539426099607454,1.7632087828521823,-0.011015856932555551,0.00011081482210428817,-0.07270343720421327,0.00076654396029463,0.0029511325889629188,0.0016824886340699834,-1.5256157372015158e-06,0.002854857114825915
54,3179.8050514198076,3.2878763985531165,-2.3,0.5277812314452259,1.724875449518849,-0.022451209440147446,0.00011094887071561033,-0.07087149641340139,0.0007641519194003799,0.0029390059991792,0.0016747885821610442,-1.523871124501879e-06,0.0030091470297928247
55,3239.8050514198076,3.303906346638672,-2.3,0.5161363632830194,1.6865421161855156,-0.03399531417973603,0.00011096753987116514,-0.06954418258440823,0.0007633347748323693,0.0029260425536403976,0.0016668399781592687,-1.5236627317360256e-06,0.0031478131764730577
56,3299.8050514198076,3.317214953661214,-2.3,0.5044914951207596,1.6482087828521823,-0.04147152812958055,0.00011096023939582977,-0.06853307720767454,0.0007635850033813618,0.0029127081312089868,0.001658897611396677,-1.524336367470694e-06,0.003272107951789227
57,3359.8050514198076,3.3263902690640137,-2.3,0.49284662695851345,1.609875449518849,-0.0434981855895506,0.00011094968360980673,-0.06773898155792246,0.0007646038349222728,0.002899462592736868,0.001651159157241369,-1.5253335562952183e-06,0.003383393220371289
58,3419.8050514198076,3.332087749439827,-2.3,0.4812017587962537,1.5715421161855156,-0.04103950576341808,0.00011094197430683295,-0.06710396816226387,0.0007662174748674921,0.0028865743911478964,0.001643731880830888,-1.5263762227700955e-06,0.0034830221462387456
